Order Country,Orders,Delayed,On_Time_or_Early,Avg_Delay_Gap_Days,Delay_Rate,On_Time_or_Early_Rate,Efficiency_Index,Regional_Delay_Index
Sudán,239,126,113,0.5230125523012552,52.719665271966534,47.28033472803347,47.28033472803347,92.02252008760922
Jamaica,162,85,77,0.5802469135802469,52.46913580246913,47.53086419753087,47.53086419753087,91.58521926218798
Bielorrusia,204,107,97,0.5392156862745098,52.450980392156865,47.549019607843135,47.549019607843135,91.55352887490004
Panamá,1882,984,898,0.3756641870350691,52.28480340063763,47.71519659936238,47.71519659936238,91.26346585076493
Canada,907,468,439,0.37816979051819183,51.598676957001096,48.4013230429989,48.4013230429989,90.06582766174257
Kenia,229,116,113,0.4017467248908297,50.65502183406113,49.34497816593886,49.34497816593886,88.41867148086496
Finlandia,277,139,138,0.4548736462093863,50.18050541516246,49.81949458483754,49.81949458483754,87.59039997222125
Ruanda,84,41,43,0.2619047619047619,48.80952380952381,51.19047619047619,51.19047619047619,85.1973426245732
Guinea,39,19,20,0.1794871794871795,48.717948717948715,51.28205128205128,51.28205128205128,85.0374977040768
Sierra Leona,39,19,20,0.1794871794871795,48.717948717948715,51.28205128205128,51.28205128205128,85.0374977040768
Libia,102,49,53,0.11764705882352941,48.03921568627451,51.9607843137255,51.9607843137255,83.85276476392714
Senegal,242,116,126,0.2231404958677686,47.93388429752066,52.066115702479344,52.066115702479344,83.66890813685156
Camerún,256,121,135,0.27734375,47.265625,52.734375,52.734375,82.50245716807946
Liberia,30,14,16,0.23333333333333334,46.666666666666664,53.333333333333336,53.333333333333336,81.45697148495779
Benín,84,39,45,0.17857142857142858,46.42857142857143,53.57142857142857,53.57142857142857,81.04137469166719
Dinamarca,278,128,150,0.2446043165467626,46.043165467625904,53.956834532374096,53.956834532374096,80.3686460694342
Montenegro,11,5,6,0.45454545454545453,45.45454545454545,54.54545454545454,54.54545454545454,79.341205991842
Etiopía,20,9,11,-0.05,45.0,55.00000000000001,55.00000000000001,78.54779393192358
Hong Kong,62,27,35,0.41935483870967744,43.54838709677419,56.451612903225815,56.451612903225815,76.01399412766797
Tayikistán,7,3,4,0.42857142857142855,42.857142857142854,57.14285714285714,57.14285714285714,74.80742279230816
Grecia,27,11,16,0.037037037037037035,40.74074074074074,59.25925925925925,59.25925925925925,71.1132290741695
Paraguay,74,30,44,0.33783783783783783,40.54054054054054,59.45945945945946,59.45945945945946,70.76377831704826
Guadalupe,36,14,22,0.3611111111111111,38.88888888888889,61.111111111111114,61.111111111111114,67.88080957079816
Kirguistán,98,38,60,0.24489795918367346,38.775510204081634,61.224489795918366,61.224489795918366,67.68290633589787
Mauritania,21,8,13,0.19047619047619047,38.095238095238095,61.904761904761905,61.904761904761905,66.49548692649616
Togo,120,45,75,0.11666666666666667,37.5,62.5,62.5,65.45649494326965
Taiwán,29,10,19,0.06896551724137931,34.48275862068966,65.51724137931035,65.51724137931035,60.18988040760428
Guayana Francesa,9,3,6,-0.5555555555555556,33.33333333333333,66.66666666666666,66.66666666666666,58.183551060684124
Líbano,20,6,14,-0.1,30.0,70.0,70.0,52.365195954615714
Macedonia,6,1,5,-0.5,16.666666666666664,83.33333333333334,83.33333333333334,29.091775530342062
Burkina Faso,11,1,10,-0.2727272727272727,9.090909090909092,90.9090909090909,90.9090909090909,15.868241198368402
Chad,3,0,3,0.0,0.0,100.0,100.0,0.0
Baréin,4,0,4,-1.0,0.0,100.0,100.0,0.0
Burundi,1,0,1,-1.0,0.0,100.0,100.0,0.0
Kuwait,2,0,2,0.0,0.0,100.0,100.0,0.0
Omán,8,0,8,-0.5,0.0,100.0,100.0,0.0
Serbia,1,0,1,-1.0,0.0,100.0,100.0,0.0
Surinam,8,0,8,-2.0,0.0,100.0,100.0,0.0
